,0
Annual return,0.10001822025113594
Cumulative returns,0.3185375587678423
Annual volatility,0.22380846314606367
Sharpe ratio,0.5390635832444165
Calmar ratio,0.2889357610466311
Stability,0.2779921124081958
Max drawdown,-0.3461607517492239
Omega ratio,1.1487600966446698
Sortino ratio,0.7493108790474439
Skew,
Kurtosis,
Tail ratio,0.9262289919896554
Daily value at risk,-0.027718458037494627
